,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit,ID,card_num
0,F,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,With parents,-11453,-277,0,0,0,Medicine staff,2.0,0.0,1.0,F & N & N & 0 & 112500.0 & Commercial associate & Secondary / secondary special & Married & With parents & -11453 & -277 & 0 & 0 & 0 & 2.0,1.0
1,F,N,N,0,157500.0,Working,Higher education,Single / not married,House / apartment,-16789,-738,1,1,0,Sales staff,1.0,0.0,1.0,F & N & N & 0 & 157500.0 & Working & Higher education & Single / not married & House / apartment & -16789 & -738 & 1 & 1 & 0 & 1.0,1.0
2,F,N,N,0,157500.0,Working,Secondary / secondary special,Single / not married,With parents,-9020,-1039,0,0,0,Sales staff,1.0,0.0,1.0,F & N & N & 0 & 157500.0 & Working & Secondary / secondary special & Single / not married & With parents & -9020 & -1039 & 0 & 0 & 0 & 1.0,3.0
3,F,N,N,0,225000.0,Working,Higher education,Married,House / apartment,-16837,-2848,0,0,0,Managers,2.0,0.0,1.0,F & N & N & 0 & 225000.0 & Working & Higher education & Married & House / apartment & -16837 & -2848 & 0 & 0 & 0 & 2.0,1.0
4,F,N,N,0,81000.0,Pensioner,Higher education,Single / not married,House / apartment,-23291,365243,0,1,0,,1.0,0.0,1.0,F & N & N & 0 & 81000.0 & Pensioner & Higher education & Single / not married & House / apartment & -23291 & 365243 & 0 & 1 & 0 & 1.0,6.0
5,F,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-13100,-2013,0,0,1,,2.0,0.0,1.0,F & N & N & 1 & 180000.0 & Working & Secondary / secondary special & Single / not married & Rented apartment & -13100 & -2013 & 0 & 0 & 1 & 2.0,4.0
6,F,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-14765,-3294,0,0,0,Core staff,3.0,0.0,1.0,F & N & N & 1 & 225000.0 & Commercial associate & Secondary / secondary special & Civil marriage & House / apartment & -14765 & -3294 & 0 & 0 & 0 & 3.0,1.0
7,F,N,N,1,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18309,365243,0,0,0,,3.0,0.0,1.0,F & N & N & 1 & 90000.0 & Pensioner & Secondary / secondary special & Married & House / apartment & -18309 & 365243 & 0 & 0 & 0 & 3.0,3.0
8,F,N,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,-10253,-1462,0,0,0,Laborers,3.0,0.0,1.0,F & N & N & 1 & 90000.0 & Working & Secondary / secondary special & Married & With parents & -10253 & -1462 & 0 & 0 & 0 & 3.0,5.0
9,F,N,N,2,47250.0,Working,Secondary / secondary special,Married,With parents,-11651,-318,1,0,0,Laborers,4.0,0.0,1.0,F & N & N & 2 & 47250.0 & Working & Secondary / secondary special & Married & With parents & -11651 & -318 & 1 & 0 & 0 & 4.0,1.0
10,F,N,Y,0,112500.0,Pensioner,Higher education,Married,House / apartment,-22062,365243,0,0,0,,2.0,0.0,1.0,F & N & Y & 0 & 112500.0 & Pensioner & Higher education & Married & House / apartment & -22062 & 365243 & 0 & 0 & 0 & 2.0,6.0
11,F,N,Y,0,112500.0,Working,Incomplete higher,Single / not married,Rented apartment,-8347,-1598,0,0,0,Laborers,1.0,0.0,1.0,F & N & Y & 0 & 112500.0 & Working & Incomplete higher & Single / not married & Rented apartment & -8347 & -1598 & 0 & 0 & 0 & 1.0,11.0
12,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-17104,-9320,1,0,0,High skill tech staff,2.0,0.0,1.0,F & N & Y & 0 & 112500.0 & Working & Secondary / secondary special & Married & House / apartment & -17104 & -9320 & 1 & 0 & 0 & 2.0,1.0
13,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21131,365243,0,0,0,,2.0,0.0,1.0,F & N & Y & 0 & 135000.0 & Pensioner & Secondary / secondary special & Civil marriage & House / apartment & -21131 & 365243 & 0 & 0 & 0 & 2.0,1.0
14,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22482,365243,0,1,0,,2.0,0.0,0.0,F & N & Y & 0 & 157500.0 & Pensioner & Secondary / secondary special & Married & House / apartment & -22482 & 365243 & 0 & 1 & 0 & 2.0,1.0
