ID,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit,year_total,work_total,Nth_card,ability
0,F,N,N,0,103500,Pensioner,Higher education,Married,House / apartment,21701,0,0,1,0,retired,2,24,0,59.42,0,3,4.769365467
1,F,N,N,0,103500,Pensioner,Higher education,Single / not married,House / apartment,24543,0,0,0,0,retired,1,17,2,67.17,0,2,4.217088376
2,F,N,N,0,103500,Pensioner,Secondary / secondary special,Married,House / apartment,20123,0,0,0,0,retired,2,10,2,55.08,0,6,5.143368285
3,F,N,N,0,103500,Pensioner,Secondary / secondary special,Married,House / apartment,22111,0,0,0,0,retired,2,5,2,60.58,0,2,4.680928045
4,F,N,N,0,103500,Pensioner,Secondary / secondary special,Married,House / apartment,22734,0,0,0,0,retired,2,52,2,62.25,0,1,4.552652415
5,F,N,N,0,103500,Pensioner,Secondary / secondary special,Married,House / apartment,24346,0,0,0,0,retired,2,24,2,66.67,0,3,4.251211698
6,F,N,N,0,103500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,23439,0,0,1,0,retired,1,6,2,64.17,0,2,4.415717394
7,F,N,N,0,103500,State servant,Secondary / secondary special,Civil marriage,House / apartment,14719,-4082,0,0,0,Core staff,2,53,2,40.25,11.17,1,9.730187083
8,F,N,N,0,103500,Working,Higher education,Married,House / apartment,15989,-6640,1,1,0,no_data,2,3,0,43.75,18.17,3,11.07070275
9,F,N,N,0,103500,Working,Secondary / secondary special,Married,House / apartment,17767,-11062,1,0,0,Medicine staff,2,37,2,48.67,30.25,2,15.43624161
10,F,N,N,0,103500,Working,Secondary / secondary special,Separated,House / apartment,15715,-3657,1,0,0,Cooking staff,1,26,2,43,10,2,8.58351302
11,F,N,N,0,103500,Working,Secondary / secondary special,Single / not married,House / apartment,12348,-424,1,1,0,Sales staff,1,3,1,33.83,1.08,3,8.679973163
12,F,N,N,0,103500,Working,Secondary / secondary special,Single / not married,With parents,9819,-2568,1,0,0,no_data,1,4,2,26.83,7,1,14.27389326
